SPDR S&P 500 ETF Trust,Last: 447.26,Change:  -1.44
"Date: February 8, 2022, 3:06 AM EST",Bid: 448.1,Ask: 448.13,Size: 5*1,"Volume: 84,472,859"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Feb 07 2022,SPY220207C00295000,153.62,-2.205,152.27,153.46,1,0.02,1,0,1,295.00,SPY220207P00295000,0.01,0.005,0,0.01,1,13.001,0,0,256
Mon Feb 07 2022,SPY220207C00300000,149.62,-1.21,147.27,148.46,120,0.02,1,0,0,300.00,SPY220207P00300000,0.01,0.005,0,0.01,6,12.5446,0,0,136
Mon Feb 07 2022,SPY220207C00305000,0,0,142.27,143.46,0,0.02,1,0,0,305.00,SPY220207P00305000,0.03,0,0,0.01,0,12.001,0,0,21
Mon Feb 07 2022,SPY220207C00310000,0,0,137.27,138.46,0,0.02,1,0,0,310.00,SPY220207P00310000,0.03,0,0,0.01,0,12.001,0,0,192
Mon Feb 07 2022,SPY220207C00315000,133.72,-2.11,132.27,133.46,20,0.02,1,0,0,315.00,SPY220207P00315000,0.03,0,0,0.01,0,10.998,0,0,23
Mon Feb 07 2022,SPY220207C00320000,129.13,-1.705,127.27,128.46,10,0.02,1,0,0,320.00,SPY220207P00320000,0.01,0.005,0,0.01,1,10.51,0,0,367
Mon Feb 07 2022,SPY220207C00325000,0,0,122.27,123.46,0,0.02,1,0,0,325.00,SPY220207P00325000,0.01,0,0,0.01,0,10.001,0,0,170
Mon Feb 07 2022,SPY220207C00330000,119.26,-1.595,117.27,118.46,10,0.02,1,0,0,330.00,SPY220207P00330000,0.02,0,0,0.01,0,10.001,0,0,552
Mon Feb 07 2022,SPY220207C00335000,0,0,112.27,113.46,0,0.02,1,0,0,335.00,SPY220207P00335000,0.01,0,0,0.01,0,9.501,0,0,429
Mon Feb 07 2022,SPY220207C00340000,109.19,-1.665,107.27,108.46,13,0.02,1,0,2,340.00,SPY220207P00340000,0.01,0,0,0.01,0,8.9923,0,0,2141
Mon Feb 07 2022,SPY220207C00345000,105.01,-0.845,102.27,103.46,1,0.02,1,0,0,345.00,SPY220207P00345000,0.02,0,0,0.01,0,8.2455,0,0,4526
Mon Feb 07 2022,SPY220207C00350000,98.97,0,97.27,98.46,0,0.02,1,0,10,350.00,SPY220207P00350000,0.01,0,0,0.01,0,8.001,0,0,4635
Mon Feb 07 2022,SPY220207C00355000,96.27,0,92.27,93.46,0,0.02,1,0,20,355.00,SPY220207P00355000,0.01,0,0,0.01,0,7.501,0,0,630
Mon Feb 07 2022,SPY220207C00360000,92.5,0,87.27,88.46,0,0.02,1,0,20,360.00,SPY220207P00360000,0.01,0,0,0.01,0,7.3186,0,0,898
Mon Feb 07 2022,SPY220207C00365000,84.84,-0.995,82.27,83.46,7,0.02,1,0,0,365.00,SPY220207P00365000,0.01,0,0,0.01,0,6.7294,0,0,678
Mon Feb 07 2022,SPY220207C00370000,76.52,-4.335,77.27,78.46,6,0.02,1,0,16,370.00,SPY220207P00370000,0.01,0,0,0.01,0,6.1208,0,0,1561
Mon Feb 07 2022,SPY220207C00375000,73,-2.835,72.27,73.46,4,0.02,1,0,5,375.00,SPY220207P00375000,0.01,0,0,0.01,0,6.001,0,0,22897
Mon Feb 07 2022,SPY220207C00380000,69.22,-1.625,67.27,68.46,7,0.02,1,0,10,380.00,SPY220207P00380000,0.01,0,0,0.01,0,5.4294,0,0,2649
Mon Feb 07 2022,SPY220207C00385000,62.07,-3.775,62.27,63.46,11,0.02,1,0,10,385.00,SPY220207P00385000,0.01,0.005,0,0.01,10,5.1894,0,0,17667
Mon Feb 07 2022,SPY220207C00390000,56.97,0,57.27,58.46,0,0.02,1,0,23,390.00,SPY220207P00390000,0.01,0.005,0,0.01,3,4.6268,0,0,1960
Mon Feb 07 2022,SPY220207C00392000,54.87,0,55.27,56.46,0,0.02,1,0,9,392.00,SPY220207P00392000,0.01,0,0,0.01,0,4.6114,0,0,810
Mon Feb 07 2022,SPY220207C00394000,55.09,-1.76,53.27,54.46,10,0.02,1,0,0,394.00,SPY220207P00394000,0.01,0,0,0.01,0,4.3623,0,0,199
Mon Feb 07 2022,SPY220207C00395000,52.69,-3.14,52.27,53.46,17,0.02,1,0,18,395.00,SPY220207P00395000,0.01,0,0,0.01,0,4.4704,0,0,982
Mon Feb 07 2022,SPY220207C00396000,52.33,-2.52,51.27,52.46,10,0.02,1,0,0,396.00,SPY220207P00396000,0.01,0,0,0.01,0,4.0451,0,0,865
Mon Feb 07 2022,SPY220207C00398000,53.81,0,49.27,50.46,0,0.02,1,0,5,398.00,SPY220207P00398000,0.01,0,0,0.01,0,4.001,0,0,5048
Mon Feb 07 2022,SPY220207C00400000,46.5,-4.345,47.27,48.46,20,0.02,1,0,12,400.00,SPY220207P00400000,0.01,0.005,0,0.01,1,4.001,0,0,3622
Mon Feb 07 2022,SPY220207C00402000,45.92,-2.93,45.27,46.46,2,0.02,1,0,16,402.00,SPY220207P00402000,0.01,0,0,0.01,0,3.7502,0,0,1265
Mon Feb 07 2022,SPY220207C00404000,42.52,0,43.27,44.46,0,0.02,1,0,5,404.00,SPY220207P00404000,0.01,0,0,0.01,0,3.6598,0,0,2802
Mon Feb 07 2022,SPY220207C00405000,44.16,-1.69,42.27,43.46,2,0.02,1,0,2,405.00,SPY220207P00405000,0.01,0.005,0,0.01,34,3.6296,0,0,11511
Mon Feb 07 2022,SPY220207C00406000,41.52,-3.335,41.27,42.46,46,0.02,1,0,44,406.00,SPY220207P00406000,0.01,0.005,0,0.01,30,3.4071,0,0,1226
Mon Feb 07 2022,SPY220207C00408000,43.28,0,39.27,40.46,0,0.02,1,0,12,408.00,SPY220207P00408000,0.01,0.005,0,0.01,2,3.1382,0,0,1159
Mon Feb 07 2022,SPY220207C00410000,37.86,-2.995,37.27,38.46,61,0.02,1,0,84,410.00,SPY220207P00410000,0.01,0.005,0,0.01,3,3.0934,0,0,3822
Mon Feb 07 2022,SPY220207C00412000,38.05,0,35.27,36.46,0,0.02,1,0,23,412.00,SPY220207P00412000,0.01,0,0,0.01,0,2.8296,0,0,3990
Mon Feb 07 2022,SPY220207C00414000,30.97,0,33.27,34.46,0,0.02,1,0,1,414.00,SPY220207P00414000,0.01,0,0,0.01,0,2.8053,0,0,2912
Mon Feb 07 2022,SPY220207C00415000,32.18,-3.69,32.27,33.46,47,0.02,1,0,66,415.00,SPY220207P00415000,0.01,0.005,0,0.01,6,2.7962,0,0,2587
Mon Feb 07 2022,SPY220207C00416000,35,0,31.27,32.46,0,0.02,1,0,81,416.00,SPY220207P00416000,0.01,0.005,0,0.01,1,2.5462,0,0,2349
Mon Feb 07 2022,SPY220207C00418000,31.57,-1.33,29.27,30.46,10,0.02,1,0,189,418.00,SPY220207P00418000,0.01,0.005,0,0.01,1,2.532,0,0,2747
Mon Feb 07 2022,SPY220207C00420000,29.08,-1.8,27.27,28.46,26,0.02,1,0,107,420.00,SPY220207P00420000,0.01,-0.005,0,0.01,82,2.3333,0,0,4901
Mon Feb 07 2022,SPY220207C00421000,28.09,-1.735,26.27,27.46,3,0.02,1,0,2,421.00,SPY220207P00421000,0.01,-0.005,0,0.01,26,2.1976,0,0,1529
Mon Feb 07 2022,SPY220207C00422000,28,-0.895,25.27,26.46,1,0.02,1,0,54,422.00,SPY220207P00422000,0.01,-0.005,0,0.01,10,2.126,0,0,1245
Mon Feb 07 2022,SPY220207C00423000,26.23,-1.525,24.27,25.46,10,0.02,1,0,0,423.00,SPY220207P00423000,0.01,-0.005,0,0.01,97,2.001,0,0,2637
Mon Feb 07 2022,SPY220207C00424000,24.68,0,23.27,24.46,0,0.02,1,0,202,424.00,SPY220207P00424000,0.01,-0.005,0,0.01,15,2.001,0,0,1361
Mon Feb 07 2022,SPY220207C00425000,22.46,-3.4,22.27,23.46,19,0.02,1,0,473,425.00,SPY220207P00425000,0.01,-0.005,0,0.01,81,1.876,0,0,4268
Mon Feb 07 2022,SPY220207C00426000,21.37,-3.49,21.27,22.46,20,0.02,1,0,461,426.00,SPY220207P00426000,0.01,-0.005,0,0.01,20,1.8181,0,0,1605
Mon Feb 07 2022,SPY220207C00427000,25.15,0,20.27,21.46,0,0.02,1,0,21,427.00,SPY220207P00427000,0.01,-0.005,0,0.01,3,1.7317,0,0,5210
Mon Feb 07 2022,SPY220207C00428000,19.38,-3.505,19.27,20.46,7,0.02,1,0,450,428.00,SPY220207P00428000,0.01,-0.015,0,0.01,122,1.6663,0,0,4112
Mon Feb 07 2022,SPY220207C00429000,20.54,-1.34,18.27,19.46,1,0.02,1,0,31,429.00,SPY220207P00429000,0.01,-0.015,0,0.01,13,1.6191,0,0,2438
Mon Feb 07 2022,SPY220207C00430000,16.86,-4.03,17.27,18.46,122,0.02,1,0,867,430.00,SPY220207P00430000,0.01,-0.025,0,0.01,420,1.4821,0,0,18252
Mon Feb 07 2022,SPY220207C00431000,19.31,-0.575,16.27,17.46,2,0.02,1,0,34,431.00,SPY220207P00431000,0.01,-0.025,0,0.01,390,1.3428,0,0,2152
Mon Feb 07 2022,SPY220207C00432000,15.42,-3.47,15.27,16.46,49,0.02,1,0,1083,432.00,SPY220207P00432000,0.01,-0.035,0,0.01,1194,1.3179,0,0,4634
Mon Feb 07 2022,SPY220207C00433000,14.67,-3.23,14.27,15.46,14,0.02,1,0,34,433.00,SPY220207P00433000,0.01,-0.045,0,0.01,1294,1.1835,0,0,3108
Mon Feb 07 2022,SPY220207C00434000,13.09,-3.815,13.27,14.46,66,0.02,1,0,979,434.00,SPY220207P00434000,0.01,-0.055,0,0.01,2578,1.1685,0,0,6298
Mon Feb 07 2022,SPY220207C00435000,12.74,-3.18,12.27,13.46,56,0.02,1,0,951,435.00,SPY220207P00435000,0.01,-0.075,0,0.01,2742,1.0376,0,0,8945
Mon Feb 07 2022,SPY220207C00436000,14.68,-0.27,11.27,12.46,176,0.02,1,0,1295,436.00,SPY220207P00436000,0.01,-0.095,0,0.01,8596,1.001,0,0,9701
Mon Feb 07 2022,SPY220207C00437000,13.1,-0.865,10.27,11.46,16,0.02,1,0,315,437.00,SPY220207P00437000,0.01,-0.115,0,0.01,5832,0.864,0,0,2594
Mon Feb 07 2022,SPY220207C00438000,8.44,-4.565,9.27,10.46,96,0.02,1,0,416,438.00,SPY220207P00438000,0.01,-0.155,0,0.01,7496,0.8135,0,0,4414
Mon Feb 07 2022,SPY220207C00439000,7.59,-4.445,8.34,9.46,119,0.02,1,0,108,439.00,SPY220207P00439000,0.01,-0.195,0,0.01,13152,0.751,0,0,6055
Mon Feb 07 2022,SPY220207C00440000,7.8,-3.335,7.34,7.99,807,0.02,1,0,1869,440.00,SPY220207P00440000,0.01,-0.255,0,0.01,37228,0.626,0,0,22450
Mon Feb 07 2022,SPY220207C00441000,5.45,-4.76,6.34,7.46,639,0.02,1,0,358,441.00,SPY220207P00441000,0.01,-0.33,0,0.01,13550,0.5635,0,0,2674
Mon Feb 07 2022,SPY220207C00442000,5.65,-3.645,5.33,6.46,774,0.02,1,0,1609,442.00,SPY220207P00442000,0.01,-0.425,0,0.01,29182,0.5082,0,0,7640
Mon Feb 07 2022,SPY220207C00443000,4.58,-3.79,4.33,5.46,703,0.02,1,0,599,443.00,SPY220207P00443000,0.01,-0.535,0,0.01,37697,0.4482,0,0,5567
Mon Feb 07 2022,SPY220207C00444000,4.01,-3.53,3.81,4.46,2965,0.02,1,0,1417,444.00,SPY220207P00444000,0.01,-0.665,0,0.01,64878,0.4125,0,0,5594
Mon Feb 07 2022,SPY220207C00445000,2.85,-3.85,2.81,3.46,8640,0.02,1,0,2934,445.00,SPY220207P00445000,0.03,-0.805,0,0.01,157989,0.3849,0,0,14230
Mon Feb 07 2022,SPY220207C00446000,2,-3.88,1.81,2.25,13714,0.02,1,0,5034,446.00,SPY220207P00446000,0.01,-1.02,0,0.01,164932,0.3388,0,0,5362
Mon Feb 07 2022,SPY220207C00447000,0.97,-4.115,0.87,0.94,63799,0.6955,1,0,2295,447.00,SPY220207P00447000,0.04,-1.215,0.03,0.05,199669,0.2356,0,0,7783
